12FF, , 13FM, , 14FF, , 15FM, , 18FM, , 19FM, , 20FM, , 22FM, 
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.013831987, 18.81563412, 0.04769716, 26.60020424, 0.018189038, 20.87732672, 0.009814396, 24.94637982, 0.011444716, 32.10521325, 0.040976802, 16.48840906, 0.009572474, 26.94692542, 0.0017, 25.53672574
0.028414233, 33.08806442, 0.077409262, 45.91455271, 0.033137674, 39.53585618, 0.018286879, 44.69044562, 0.019426634, 57.97899033, 0.074032402, 33.48776386, 0.009974715, 52.51897039, 0.003666218, 46.51828926
0.046134315, 45.32036019, 0.105164135, 62.31447923, 0.044450196, 58.69474891, 0.035227481, 67.68786921, 0.022246797, 79.00062474, 0.101053191, 49.75246952, 0.00854285, 68.52700491, 0.006639079, 63.15135021
0.06538307, 63.10828523, 0.131963468, 80.26380912, 0.052989639, 77.02343991, 0.048971179, 86.53481779, 0.025467749, 95.56480944, 0.127448882, 67.79031321, 0.011837379, 88.59528769, 0.009005287, 80.1326717
0.078379702, 77.59422826, 0.151582835, 96.45186188, 0.066645187, 96.91560819, 0.060586596, 105.9067694, 0.028314157, 110.2053977, 0.139765983, 86.16892385, 0.013930003, 109.8367783, 0.009166747, 94.93849399
0.095252839, 91.50150409, 0.174424818, 112.0426963, 0.073223135, 114.5032709, 0.072043778, 121.9561126, 0.028476932, 125.2057623, 0.156426456, 102.8848381, 0.017704615, 127.2786788, 0.009326131, 109.5540101
0.11129908, 107.2859045, 0.197526448, 127.6020195, 0.083558476, 135.3737977, 0.08468004, 137.4373825, 0.032724225, 139.58597, 0.173221824, 119.9899206, 0.01859081, 143.4419198, 0.01166657, 124.1722928
0.129448226, 120.7838166, 0.220365106, 143.4222743, 0.093056713, 159.4936288, 0.094337054, 151.6951646, 0.037545936, 159.0500474, 0.18644119, 135.9347755, 0.018958591, 157.5794418, 0.015033538, 140.3379019
0.14776723, 137.5035845, 0.239987799, 159.3809068, 0.105199873, 177.3765016, 0.106866533, 168.165449, 0.038547914, 176.8647279, 0.201044462, 151.1775403, 0.020336572, 174.9686059, 0.017605838, 156.574931
0.165755262, 153.1749463, 0.266187345, 174.8180716, 0.112579157, 194.9633201, 0.124166301, 186.8860298, 0.041667783, 188.8195248, 0.21358379, 168.4866026, 0.023442451, 199.4774587, 0.023335403, 175.7647985
0.184865866, 169.0688838, 0.289907124, 191.6225339, 0.119205719, 214.0506877, 0.140305596, 205.525645, 0.041648191, 202.7659766, 0.224585681, 185.2936761, 0.026741165, 219.5387591, 0.025075561, 195.0563731
0.202193555, 184.8108038, 0.31273475, 208.2040471, 0.128445047, 230.8322043, 0.154499939, 224.5948641, 0.045571013, 220.4894034, 0.232969673, 202.0771825, 0.030979064, 231.4963953, 0.024330426, 211.1951475
0.220750231, 196.9708983, 0.332338551, 225.4662041, 0.138048608, 251.0316878, 0.17045298, 242.4824107, 0.054053047, 238.4319544, 0.237972661, 217.4918029, 0.03678501, 249.8199673, 0.027465275, 228.6200563
0.239248565, 211.8485332, 0.356827584, 241.868987, 0.141036608, 271.4149411, 0.189083112, 260.6647448, 0.055904372, 253.9078262, 0.248061741, 232.1156792, 0.033638102, 262.2794227, 0.028318327, 242.7144768
0.254819656, 227.3657746, 0.383125593, 259.74192, 0.150144413, 287.8736882, 0.203341743, 276.2880837, 0.058046852, 269.9405044, 0.253626125, 248.1688677, 0.036049774, 280.8582056, 0.030658766, 257.3327595
0.271646872, 241.3785341, 0.401251456, 278.7056652, 0.154563805, 303.925267, 0.215778966, 291.6523338, 0.070252501, 292.5409825, 0.259852, 267.3642508, 0.043647757, 296.1880673, 0.035064082, 276.1294656
0.292994944, 256.0555235, 0.418996187, 298.0792353, 0.152747128, 318.5352188, 0.231391841, 308.1362363, 0.074541606, 312.0877393, 0.261061821, 281.310611, 0.04169, 319.7664038, 0.038442139, 299.0571745
