'C080686 C2-C3', , 'C080686 C4-C5', , 'C080686 C6-C7', , 'C090033 C3-C4', , 'C090033 C5-C6', , 'C090033 C7-T1', , 'C090278 C3-C4', , 'C090278 C5-C6', , 'C090278 C7-T1', , 'C100923 C3-C4', , 'C100923 C5-C6', , 'C100923 C7-T1csv', , 'S090252 C7-T1', , 'UB08L002 C3-C4', , 'UB08L002 C5-C6', , 'UB08L002 C7-T1', 
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.025, 1.606795649, 0.025, -0.361667554, 0.025, 0.510275001, 0.05, 4.518245116, 0.05, 0.547772066, 0.05, -0.199983099, 0.025, 0.047314309, 0.05, -0.44390968, 0.05, 0.956381449, 0.05, 0.348317254, 0.05, 1.161681109, 0.05, 0.811838945, 0.05, -1.646034928, 0.05, 9.547004618, 0.05, 7.212161606, 0.05, 8.713468869
0.05, 3.099544464, 0.05, -0.633824371, 0.05, 1.029770448, 0.1, 8.398013509, 0.1, 1.083978202, 0.1, -0.167523102, 0.05, 0.164919475, 0.1, -0.66880278, 0.1, 1.919715944, 0.1, 0.697214999, 0.1, 2.563239615, 0.1, 1.60771692, 0.1, -1.595760206, 0.1, 18.14498147, 0.1, 13.8633307, 0.1, 16.95359139
0.075, 4.487308705, 0.075, -0.816866158, 0.075, 1.56180251, 0.15, 11.74372114, 0.15, 1.630943725, 0.15, 0.102733796, 0.075, 0.352001353, 0.15, -0.677659905, 0.15, 2.882989777, 0.15, 1.052714186, 0.15, 4.151357625, 0.15, 2.389053945, 0.15, 0.022507108, 0.15, 25.91440958, 0.15, 20.00404386, 0.15, 24.7782165
0.1, 5.778911863, 0.1, -0.91120793, 0.1, 2.109569142, 0.2, 14.65326909, 0.2, 2.209412064, 0.2, 0.615280896, 0.1, 0.6077458, 0.2, -0.47350768, 0.2, 3.841139437, 0.2, 1.421308958, 0.2, 5.879960986, 0.2, 3.15724112, 0.2, 3.084393408, 0.2, 32.96858618, 0.2, 25.6828512, 0.2, 32.24099814
0.125, 6.98294111, 0.125, -0.917284009, 0.125, 2.676151483, 0.25, 17.21820596, 0.25, 2.838583398, 0.25, 1.373775586, 0.125, 0.931338672, 0.25, -0.05941875, 0.25, 4.790907397, 0.25, 1.80989646, 0.25, 7.709688818, 0.25, 3.913640625, 0.25, 7.469458398, 0.25, 39.41375859, 0.25, 30.94631641, 0.25, 39.39152656
0.15, 8.107749741, 0.15, -0.835548021, 0.15, 3.26451526, 0.3, 19.52389029, 0.3, 3.536153286, 0.3, 2.381063934, 0.15, 1.321965825, 0.3, 0.56148822, 0.3, 5.730701727, 0.3, 2.225708881, 0.3, 9.607379527, 0.3, 4.65958572, 0.3, 13.06118494, 0.3, 45.34925612, 0.3, 35.8390167, 0.3, 46.27545946
0.175, 9.161459618, 0.175, -0.666472898, 0.175, 3.877512182, 0.35, 21.64965296, 0.35, 4.318351297, 0.35, 3.639205281, 0.175, 1.778813116, 0.35, 1.386048545, 0.35, 6.660459503, 0.35, 2.676247732, 0.35, 11.5455733, 0.35, 5.396380745, 0.35, 19.74696891, 0.35, 50.86762191, 0.35, 40.40354286, 0.35, 52.93465323
0.2, 10.15196362, 0.2, -0.41055088, 0.2, 4.517881344, 0.4, 23.66895962, 0.4, 5.199979648, 0.4, 5.149496832, 0.2, 2.3010664, 0.4, 2.41105152, 0.4, 7.581514035, 0.4, 3.169220364, 0.4, 13.50203108, 0.4, 6.12530112, 0.4, 27.41810906, 0.4, 56.05474483, 0.4, 44.6804992, 0.4, 59.40729421
0.225, 11.08692807, 0.225, -0.068293511, 0.225, 5.188250625, 0.45, 25.64957305, 0.45, 6.194451831, 0.45, 6.912498251, 0.225, 2.887911534, 0.45, 3.63324042, 0.45, 8.496465906, 0.45, 3.712478726, 0.45, 15.45927006, 0.45, 6.847593345, 0.45, 35.96979683, 0.45, 60.98999137, 0.45, 48.70850361, 0.45, 65.72802986
