'C080686 A C2-C3', , 'C080686 A C4-C5', , 'C080686 B C2-C3', , 'C090033 A C3-C4', , 'C090033 A C5-C6', , 'C090033 A C7-T1', , 'C090033 B C3-C4', , 'C090033 B C5-C6', , 'C090278 A C3-C4', , 'C090278 A C5-C6', , 'C090278 B C3-C4', , 'C090278 B C5-C6', , 'C090278 B C7-T1', , 'C100923 A C3-C4', , 'C100923 A C5-C6', , 'C100923 A C7-T1', , 'C100923 B C3-C4', , 'C100923 B C5-C6', , 'C100923 B C7-T1', , 'S090253 B C7-T1', , 'UB08L002 A C3-C4', , 'UB08L002 A C7-T1', , 'UB08L002 B C3-C4', , 'UB08L002 B C5-C6', , 'UB08L002 B C7-T1', 
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.05, 13.0604875, 0.05, 0.816846224, 0.05, -0.425004179, 0.05, 0.957605908, 0.05, 0.966313327, 0.05, 5.83385582, 0.05, -0.050103158, 0.05, 0.145601602, 0.05, 3.998005379, 0.05, 0.554167731, 0.05, 0.826263507, 0.05, -0.025657594, 0.05, 0.564076362, 0.05, -0.576739, 0.05, -0.077211349, 0.05, -0.290954179, 0.05, 0.850317936, 0.05, 0.46620671, 0.05, 1.018367028, 0.025, 1.062175678, 0.05, 2.551943024, 0.05, 0.735816875, 0.05, 0.163677616, 0.05, -0.177945924, 0.05, 0.727059927
0.1, 24.46135, 0.1, 1.398151765, 0.1, 0.89159628, 0.1, 1.617057068, 0.1, 1.722283808, 0.1, 12.3829786, 0.1, 0.077950104, 0.1, 0.3052713, 0.1, 7.86386507, 0.1, 1.17577301, 0.1, 1.692561729, 0.1, 0.1946619, 0.1, 1.12879699, 0.1, -0.18782699, 0.1, 0.09435484, 0.1, -0.153637129, 0.1, 2.62117514, 0.1, 0.913120954, 0.1, 2.252016003, 0.05, 3.018534501, 0.1, 5.121488685, 0.1, 1.932998559, 0.1, 0.760938046, 0.1, -0.200089678, 0.1, 1.530408861
0.15, 34.451775, 0.15, 1.824009168, 0.15, 3.644288314, 0.15, 2.055716154, 0.15, 2.315777979, 0.15, 19.44466013, 0.15, 0.36954157, 0.15, 0.479578373, 0.15, 11.60554648, 0.15, 1.870572345, 0.15, 2.597975927, 0.15, 0.655207856, 0.15, 1.709777785, 0.15, 0.996260701, 0.15, 0.484134699, 0.15, 0.37482607, 0.15, 5.185419257, 0.15, 1.346219577, 0.15, 3.67840387, 0.075, 5.763811866, 0.15, 7.712168311, 0.15, 3.547776137, 0.15, 1.754979129, 0.15, -0.073473196, 0.15, 2.399482138
0.2, 43.2604, 0.2, 2.163671053, 0.2, 7.56056096, 0.2, 2.341221286, 0.2, 2.79001975, 0.2, 26.8413866, 0.2, 0.810604128, 0.2, 0.6693504, 0.2, 15.23075312, 0.2, 2.64380368, 0.2, 3.541741088, 0.2, 1.3502376, 0.2, 2.321685914, 0.2, 2.82747232, 0.2, 1.064508954, 0.2, 1.259213472, 0.2, 8.42890368, 0.2, 1.770774208, 0.2, 5.276777696, 0.1, 9.200626355, 0.2, 10.32700288, 0.2, 5.538344307, 0.2, 3.110699494, 0.2, 0.195003744, 0.2, 3.325606752
0.25, 51.0953125, 0.25, 2.476403613, 0.25, 12.39912891, 0.25, 2.532205469, 0.25, 3.183831226, 0.25, 34.41911125, 0.25, 1.387677393, 0.25, 0.87565957, 0.25, 18.74692461, 0.25, 3.500199219, 0.25, 4.523238574, 0.25, 2.274016406, 0.25, 2.97825623, 0.25, 5.178657227, 0.25, 1.81062793, 0.25, 2.466159277, 0.25, 12.24972383, 0.25, 2.191851953, 0.25, 7.028103809, 0.125, 13.23911102, 0.25, 12.968521, 0.25, 7.864840796, 0.25, 4.794655786, 0.25, 0.598582813, 0.25, 4.301896582
0.3, 58.14405, 0.3, 2.812308671, 0.3, 17.94815604, 0.3, 2.67899126, 0.3, 3.531867991, 0.3, 42.04558031, 0.3, 2.087958762, 0.3, 1.099809, 0.3, 22.16123667, 0.3, 4.44399825, 0.3, 5.541988767, 0.3, 3.4208175, 0.3, 3.692307701, 0.3, 7.94204343, 0.3, 2.700241216, 0.3, 3.964106853, 0.3, 16.55745342, 0.3, 2.614316082, 0.3, 8.914996929, 0.15, 17.79655287, 0.3, 15.63877688, 0.3, 10.48932466, 0.3, 6.775020319, 0.3, 1.130646426, 0.3, 5.323147623
0.35, 64.5736, 0.35, 3.213114288, 0.35, 24.023479, 0.35, 2.824260666, 0.35, 3.864848886, 0.35, 49.60871219, 0.35, 2.899349926, 0.35, 1.343319042, 0.35, 25.48060113, 0.35, 5.478959973, 0.35, 6.597643714, 0.35, 4.784922056, 0.35, 4.475759829, 0.35, 11.02771513, 0.35, 3.713531989, 0.35, 5.723261747, 0.35, 21.27238075, 0.35, 3.04282672, 0.35, 10.92164931, 0.175, 22.79704057, 0.35, 18.33936832, 0.35, 13.37575344, 0.35, 9.021539162, 0.35, 1.784717041, 0.35, 6.385733213
0.4, 70.5304, 0.4, 3.712933939, 0.4, 30.46683072, 0.4, 3.00370025, 0.4, 4.20978025, 0.4, 57.01503007, 0.4, 3.810498816, 0.4, 1.6079136, 0.4, 28.71166592, 0.4, 6.60837632, 0.4, 7.689979776, 0.4, 6.3606192, 0.4, 5.339649075, 0.4, 14.36209024, 0.4, 4.832956006, 0.4, 7.715544704, 0.4, 26.32474496, 0.4, 3.481841536, 0.4, 13.03375987, 0.2, 28.17112032, 0.4, 21.07145472, 0.4, 16.48995924, 0.4, 11.50549065, 0.4, 2.554456448, 0.4, 7.487499264
0.45, 76.1403375, 0.45, 4.338994243, 0.45, 37.14406399, 0.45, 3.246621472, 0.45, 4.590174646, 0.45, 64.18814755, 0.45, 4.810836996, 0.45, 1.895506439, 0.45, 31.86081508, 0.45, 7.835084786, 0.45, 8.818890272, 0.45, 8.142206006, 0.45, 6.294145288, 0.45, 17.88639795, 0.45, 6.043085252, 0.45, 9.914544684, 0.45, 31.65397232, 0.45, 3.935616436, 0.45, 15.23846334, 0.225, 33.85545996, 0.45, 23.835775, 0.45, 19.79962366, 0.45, 14.19964433, 0.45, 3.433665069, 0.45, 8.627659487
0.5, 81.50875, 0.5, 5.11233125, 0.5, 43.943375, 0.5, 3.57655625, 0.5, 5.026264063, 0.5, 71.06730781, 0.5, 5.8906125, 0.5, 2.2081875, 0.5, 34.93416875, 0.5, 9.16148125, 0.5, 9.984378125, 0.5, 10.1239875, 0.5, 7.348568125, 0.5, 21.55515625, 0.5, 7.33045625, 0.5, 12.29547188, 0.5, 37.2079125, 0.5, 4.40820625, 0.5, 17.52425938, 0.25, 39.79252124, 0.5, 26.63266563, 0.5, 23.27425156, 0.5, 17.07822031, 0.5, 4.41628125, 0.5, 9.806690625
0.55, 86.720425, 0.55, 6.048455288, 0.55, 50.77352688, 0.55, 4.011827741, 0.55, 5.535207594, 0.55, 77.60597586, 0.55, 7.040918116, 0.55, 2.548209211, 0.55, 37.93758318, 0.55, 10.5895328, 0.55, 11.18654851, 0.55, 12.30027666, 0.55, 8.511403475, 0.55, 25.33464945, 0.55, 8.683423043, 0.55, 14.83511071, 0.55, 42.94207484, 0.55, 4.903465423, 0.55, 19.88094172, 0.275, 45.93024035, 0.55, 29.46207859, 0.55, 26.8851438, 0.55, 20.1168491, 0.55, 5.496380557, 0.55, 11.02622768
0.6, 91.8396, 0.6, 7.157984371, 0.6, 57.56207328, 0.6, 4.566096346, 0.6, 6.131293594, 0.6, 83.77048418, 0.6, 8.253715104, 0.6, 2.9179728, 0.6, 40.87665072, 0.6, 12.12079056, 0.6, 12.4256015, 0.6, 14.6653944, 0.6, 9.790319885, 0.6, 29.20140576, 0.6, 10.09201482, 0.6, 17.5117729, 0.6, 48.81886464, 0.6, 5.425048704, 0.6, 22.29952733, 0.3, 52.2217166, 0.6, 32.32359936, 0.6, 30.60536878, 0.6, 23.2925318, 0.6, 6.668175072, 0.6, 12.28895914
0.65, 96.9099625, 0.65, 8.447246162, 0.65, 64.25358188, 0.65, 5.248880942, 0.65, 6.826136311, 0.65, 89.53873158, 0.65, 9.521852371, 0.65, 3.320014608, 0.65, 43.75669983, 0.65, 13.75640251, 0.65, 13.70182472, 0.65, 17.21366961, 0.65, 11.19218498, 0.65, 33.14067478, 0.65, 11.54779823, 0.65, 20.3052504, 0.65, 54.80681941, 0.65, 5.976411839, 0.65, 24.7721855, 0.325, 58.62490927, 0.65, 35.21646491, 0.65, 34.40973288, 0.65, 26.58360076, 0.65, 7.926012686, 0.65, 13.5985222
0.7, 101.95465, 0.7, 9.918848495, 0.7, 70.80785796, 0.7, 6.066055332, 0.7, 7.628866999, 0.7, 94.89893539, 0.7, 10.83908108, 0.7, 3.7569924, 0.7, 46.58279507, 0.7, 15.49712633, 0.7, 15.01558596, 0.7, 19.9394391, 0.7, 12.72308191, 0.7, 37.14490507, 0.7, 13.04374433, 0.7, 23.1967685, 0.7, 60.87984518, 0.7, 6.560812258, 0.7, 27.29216702, 0.35, 65.10234281, 0.7, 38.13958166, 0.7, 38.27474981, 0.7, 29.96968068, 0.7, 9.264376394, 0.7, 14.95939803
0.75, 106.97625, 0.75, 11.57221846, 0.75, 77.19816797, 0.75, 7.020319922, 0.75, 8.546319507, 0.75, 99.84843684, 0.75, 12.2000647, 0.75, 4.23167168, 0.75, 49.35973711, 0.75, 17.34334219, 0.75, 16.36732588, 0.75, 22.83704766, 0.75, 14.38832572, 0.75, 41.21222168, 0.75, 14.5741002, 0.75, 26.16893877, 0.75, 67.01645273, 0.75, 7.181309766, 0.75, 29.8537333, 0.375, 71.62082003, 0.75, 41.09154346, 0.75, 42.17860876, 0.75, 33.43165012, 0.75, 10.67788359, 0.75, 16.37680693
0.8, 111.9568, 0.8, 13.40411003, 0.8, 83.40946304, 0.8, 8.111648614, 0.8, 9.583210342, 0.8, 104.3925598, 0.8, 13.60038451, 0.8, 4.746912, 0.8, 52.09206272, 0.8, 19.2950656, 0.8, 17.75755059, 0.8, 25.900848, 0.8, 16.19247985, 0.8, 45.34490368, 0.8, 16.13426524, 0.8, 29.20571213, 0.8, 73.19899392, 0.8, 7.840767232, 0.8, 32.4520855, 0.4, 78.15114368, 0.8, 44.0706496, 0.8, 46.10114156, 0.8, 36.95160343, 0.8, 12.16128538, 0.8, 17.85660365
