'C080886 C2-C3', , 'C080886 C3-C5', , 'C080886 C6-C7', , 'C090033 C3-C4', , 'C090033 C5-C6', , 'C090033 C7-T1', , 'C090278 C3-C4', , 'C090278 C5-C6', , 'C090278 C7-T1', , 'C100923 C3-C4', , 'C100923 C5-C6', , 'C100923 C7-T1', , 'S090252 C7-T1', , 'UB08L002 C3-C4', , 'UB08L002 C5-C6', , 'UB08L002 C7-T1', 
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.05, 2.860022731, 0.05, 2.503353693, 0.05, 3.215489844, 0.05, 2.126874105, 0.025, 11.15862112, 0.025, 4.26576131, 0.05, 0.201889573, 0.05, 2.833617233, 0.05, 1.537346561, 0.05, 3.034035147, 0.05, 5.477785584, 0.05, 0.88096085, 0.025, 4.460186401, 0.05, 2.76317263, 0.05, 1.13001832, 0.05, 12.61494096
0.1, 5.920231477, 0.1, 4.375769485, 0.1, 6.2578365, 0.1, 4.315510228, 0.05, 21.37089288, 0.05, 8.647459791, 0.1, 1.698709763, 0.1, 7.689360482, 0.1, 2.943029849, 0.1, 10.92495268, 0.1, 9.9120527, 0.1, 2.84540721, 0.05, 9.374572003, 0.1, 5.541639851, 0.1, 3.88124025, 0.1, 22.4689306
0.15, 9.168983606, 0.15, 5.72023813, 0.15, 9.166128094, 0.15, 6.376134417, 0.075, 30.75352565, 0.075, 13.13176975, 0.15, 4.346070636, 0.15, 14.27814298, 0.15, 4.264242313, 0.15, 22.30646196, 0.15, 13.58724625, 0.15, 5.705284126, 0.075, 14.72524318, 0.15, 8.317222484, 0.15, 8.010738586, 0.15, 30.91139237
0.2, 12.59560054, 0.2, 6.63348432, 0.2, 11.977616, 0.2, 8.191942592, 0.1, 39.41342131, 0.1, 17.7085293, 0.2, 8.009828045, 0.2, 22.33773677, 0.2, 5.546497728, 0.2, 36.06109712, 0.2, 16.7582304, 0.2, 9.29893072, 0.1, 20.49370868, 0.2, 11.07651443, 0.2, 13.299192, 0.2, 38.9572992
0.25, 16.19032861, 0.25, 7.206119629, 0.25, 14.72771484, 0.25, 9.708853516, 0.125, 47.44815739, 0.125, 22.37044098, 0.25, 12.56562754, 0.25, 31.63117432, 0.25, 6.833487793, 0.25, 51.2919291, 0.25, 19.65151367, 0.25, 13.48938223, 0.125, 26.66084961, 0.25, 13.810521, 0.25, 19.54958848, 0.25, 47.32298828
0.3, 19.94429987, 0.3, 7.522795455, 0.3, 17.4500025, 0.3, 10.92582121, 0.15, 54.9464602, 0.15, 27.11277237, 0.3, 17.89845797, 0.3, 41.94519554, 0.3, 8.166938727, 0.3, 67.29580752, 0.3, 22.4664741, 0.3, 18.16267203, 0.15, 33.20686943, 0.3, 16.51429719, 0.3, 26.58592875, 0.3, 56.4619758
0.35, 23.84949295, 0.35, 7.662355965, 0.35, 20.17622009, 0.35, 11.88570682, 0.175, 61.98866719, 0.175, 31.93305673, 0.35, 23.90221483, 0.35, 53.08874033, 0.35, 9.586467865, 0.35, 83.53813226, 0.35, 25.37658434, 0.35, 23.2261337, 0.175, 40.11124396, 0.35, 19.18658607, 0.35, 34.25192974, 0.35, 66.60077169
0.4, 27.89869389, 0.4, 7.69799104, 0.4, 22.936272, 0.4, 12.66670989, 0.2, 68.64717824, 0.2, 36.8307936, 0.4, 30.47927327, 0.4, 64.89148659, 0.4, 11.12944026, 0.4, 99.62915488, 0.4, 28.5306368, 0.4, 28.60670304, 0.2, 47.35267136, 0.4, 21.82945702, 0.4, 42.409728, 0.4, 77.7746944
0.45, 32.08545699, 0.45, 7.697389215, 0.45, 25.75822584, 0.45, 13.37435911, 0.225, 74.98689626, 0.225, 41.80714943, 0.45, 37.54007084, 0.45, 77.20243365, 0.45, 12.83082526, 0.45, 115.3018097, 0.45, 32.05396876, 0.45, 34.2492201, 0.225, 54.90902212, 0.45, 24.44794411, 0.45, 50.93858313, 0.45, 89.86368561
0.5, 36.40406563, 0.5, 7.722890625, 0.5, 28.6683125, 0.5, 14.1340625, 0.25, 81.06565674, 0.25, 46.8646582, 0.5, 45.0027, 0.5, 89.88853125, 0.5, 14.72305313, 0.5, 130.391075, 0.5, 36.0496875, 0.5, 40.11473125, 0.25, 62.75728906, 0.5, 27.04968438, 0.5, 59.73358125, 0.5, 102.628125
